Player,Mat,Inns,Ov,Runs,Avg,Econ,SR,4w,5w,Wkts
David Willey,4,4,11,72,72,6.54,66,0,0,1
Anukul Roy,2,2,7,55,55,7.85,42,0,0,1
Mayank Markande,2,2,7,57,57,8.14,42,0,0,1
Tushar Deshpande,2,2,7,63,63,9,42,0,0,1
Kartik Tyagi,2,2,8,79,79,9.87,48,0,0,1
Harshit Rana,2,2,5,51,51,10.2,30,0,0,1
Aiden Markram,14,4,6,64,64,10.66,36,0,0,1
Deepak Hooda,15,2,4,43,43,10.75,24,0,0,1
Shreyas Gopal,1,1,3,34,34,11.33,18,0,0,1
Fabian Allen,1,1,4,46,46,11.5,24,0,0,1
Sean Abbott,1,1,4,47,47,11.75,24,0,0,1
Riyan Parag,17,4,4,59,59,14.75,24,0,0,1
Dewald Brevis,7,1,0.3,8,8,16,3,0,0,1
